code	parent	level	unit	name
28948	838	3	xã	Khánh Thạnh Tân
84		1	tỉnh	Trà Vinh
842	84	2	thành phố	Trà Vinh
29236	842	3	phường	4
29239	842	3	phường	1
29242	842	3	phường	3
29248	842	3	phường	5
29254	842	3	phường	7
29257	842	3	phường	8
29260	842	3	phường	9
29263	842	3	xã	Long Đức
844	84	2	huyện	Càng Long
29266	844	3	thị trấn	Càng Long
29269	844	3	xã	Mỹ Cẩm
29272	844	3	xã	An Trường A
29275	844	3	xã	An Trường
29278	844	3	xã	Huyền Hội
29281	844	3	xã	Tân An
29284	844	3	xã	Tân Bình
29287	844	3	xã	Bình Phú
29290	844	3	xã	Phương Thạnh
29293	844	3	xã	Đại Phúc
29296	844	3	xã	Đại Phước
29299	844	3	xã	Nhị Long Phú
29302	844	3	xã	Nhị Long
29305	844	3	xã	Đức Mỹ
845	84	2	huyện	Cầu Kè
29308	845	3	thị trấn	Cầu Kè
29311	845	3	xã	Hòa Ân
29314	845	3	xã	Châu Điền
29317	845	3	xã	An Phú Tân
29320	845	3	xã	Hoà Tân
29323	845	3	xã	Ninh Thới
29326	845	3	xã	Phong Phú
29329	845	3	xã	Phong Thạnh
29332	845	3	xã	Tam Ngãi
29335	845	3	xã	Thông Hòa
29338	845	3	xã	Thạnh Phú
846	84	2	huyện	Tiểu Cần
29341	846	3	thị trấn	Tiểu Cần
29344	846	3	thị trấn	Cầu Quan
29347	846	3	xã	Phú Cần
29350	846	3	xã	Hiếu Tử
29353	846	3	xã	Hiếu Trung
29356	846	3	xã	Long Thới
29359	846	3	xã	Hùng Hòa
29362	846	3	xã	Tân Hùng
29365	846	3	xã	Tập Ngãi
29368	846	3	xã	Ngãi Hùng
29371	846	3	xã	Tân Hòa
847	84	2	huyện	Châu Thành
29374	847	3	thị trấn	Châu Thành
29377	847	3	xã	Đa Lộc
29380	847	3	xã	Mỹ Chánh
29383	847	3	xã	Thanh Mỹ
29386	847	3	xã	Lương Hoà A
29389	847	3	xã	Lương Hòa
29392	847	3	xã	Song Lộc
29395	847	3	xã	Nguyệt Hóa
29398	847	3	xã	Hòa Thuận
29401	847	3	xã	Hòa Lợi
29404	847	3	xã	Phước Hảo
29407	847	3	xã	Hưng Mỹ
29410	847	3	xã	Hòa Minh
29413	847	3	xã	Long Hòa
848	84	2	huyện	Cầu Ngang
29416	848	3	thị trấn	Cầu Ngang
29419	848	3	thị trấn	Mỹ Long
29422	848	3	xã	Mỹ Long Bắc
29425	848	3	xã	Mỹ Long Nam
29428	848	3	xã	Mỹ Hòa
29431	848	3	xã	Vĩnh Kim
29434	848	3	xã	Kim Hòa
29437	848	3	xã	Hiệp Hòa
29440	848	3	xã	Thuận Hòa
29443	848	3	xã	Long Sơn
29446	848	3	xã	Nhị Trường
29449	848	3	xã	Trường Thọ
